Year x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 y
1979 1948 4177 5496 2922 5713 3640 3203 2739 2167 2299 3255.2
1980 2261 3670 7797 3327 6934 4424 3692 3451 2866 2653 3682.7
1981 1989 4353 7392 2837 6275 4827 4476 4403 3568 3241 3921.9
1982 1999 3307 7061 3439 6641 4815 4256 4129 3447 3046 3909.3
1983 2086 4230 6564 2987 6675 3959 3900 3559 4078 3583 3768.9
1984 1717 2714 5919 3394 5605 3648 3085 2440 2631 2587 3106.4
1985 1383 2357 5053 2958 5144 3106 4052 3006 3049 2890 3069.4
1986 1470 3004 3951 2691 5116 3557 2775 1909 1952 1723 2940.2
1987 1350 2446 4280 2397 4722 3556 2818 2945 2931 2733 3015.3
1988 1602 4188 5910 3619 6869 5142 3190 3660 3964 3107 3953.2
1989 1417 3631 5145 3282 5226 3793 2663 3017 2579 3367 3172.4
1990 1662 4683 6384 6376 7313 4679 3037 3666 3142 2621 3791.0
1991 1955 4553 5679 6141 6068 3651 2601 2791 2148 2448 3344.8
1992 1974 3836 6021 5646 5876 4026 3037 3920 2583 2742 3650.3
1993 2094 4183 6733 6720 6044 6573 2465 3406 2410 2539 3878.7
1994 3149 6128 8151 9048 8384 7467 2888 3522 2496 2895 4606.2
1995 1471 2952 4151 4975 5149 4733 2603 3493 3396 3554 3498.8
1996 1691 3711 4200 4962 5359 3782 3185 3099 3381 2938 3241.0
1997 2373 4836 6704 6563 6197 5001 3902 3685 3636 3365 4013.5
