yas_hafta yas_ay yasama_gucu yumurta_verimi yumurta_agirligi gelir
18 1 99.9 1 43 78
19 1 99.8 11 44.4 839
20 1 99.7 35 45.4 3257
21 1 99.6 53 47.9 4927
22 2 99.5 77 49.1 7061
23 2 99.4 91 50.4 10078
24 2 99.3 92 52.5 9779
25 2 99.2 93 53.6 9929
26 3 99.1 94 54.6 10080
27 3 99 94.5 55.4 10587
28 3 98.9 95 56.2 10331
29 3 98.8 95 57 10540
30 4 98.7 94.8 57.6 10152
31 4 98.6 94.5 58.1 9974
32 4 98.5 94.2 58.6 10311
33 4 98.4 93.9 59.1 10079
34 5 98.3 93.6 59.6 10198
35 5 98.2 93.3 60.1 10449
36 5 98.1 93.1 60.4 10948
37 5 98 92.9 60.6 10648
38 6 97.9 92.7 60.7 10561
39 6 97.8 92.4 60.9 10174
40 6 97.7 92.1 61 10419
41 6 97.6 91.8 61.1 10636
42 7 97.5 91.5 61.2 10278
43 7 97.4 91.1 61.4 10248
44 7 97.3 90.7 61.5 10322
45 7 97.2 90.3 61.6 10517
46 8 97.1 89.9 61.7 10235
47 8 97 89.5 61.8 10027
48 8 96.9 89 61.9 10313
49 8 96.8 88.5 62 10170
50 9 96.7 88 62 10350
51 9 96.6 87.5 62.1 10058
52 9 96.5 87 62.2 10162
53 9 96.4 86.5 62.3 9947
54 10 96.3 86 62.4 9904
55 10 96.2 85.5 62.5 9860
56 10 96.1 85 62.6 9625
57 10 96 84.5 62.6 9701
58 11 95.9 84 62.7 9586
59 11 95.8 83.5 62.7 9589
60 11 95.7 83 62.8 9638
61 11 95.6 82.5 62.9 9409
62 12 95.5 82 63 9547
63 12 95.4 81.5 63 9683
64 12 95.3 81 63 9636
65 12 95.2 80.5 63 9567
66 13 95.1 80 63.1 9542
67 13 95 79.5 63.1 9626
68 13 94.9 79 63.1 9228
69 13 94.8 78.5 63.1 9442
70 14 94.7 78 63.1 9393
71 14 94.6 77.5 63.1 9516
72 14 94.5 77 63.2 9402
73 14 94.4 76.5 63.2 9352
74 15 94.3 76 63.2 9427
75 15 94.2 75.5 63.2 9314
76 15 94.1 75 63.2 9428
77 15 94 74.5 63.2 9212
78 16 93.9 74 63.2 9323
79 16 93.8 73.5 63.2 9250
80 16 93.7 73 63.2 9357
















